ID_ND;id;isolate;aliases;species;biotype;serotype;SNP_profile;country;continent;region;source;detail_of_isolation;year;month;comments;DOI;bioproject_accession;biosample_accession;run_accession;NCBI_assembly_accession;sender;curator;date_entered;datestamp;references
ND_PM0239;1336;CFSAN019579;;C. sakazakii;;Csak O3;;USA;North America;Az;Environmental;;2014;;"Genome Trakr Project SRS726919; Serotype predicted by Crotrait WGS analysis";10.1016/j.ijfoodmicro.2021.109405;;;;;3;-1;2015-06-17;2024-02-28;
ND_PM0240;1337;CFSAN019578;;C. sakazakii;;Csak O2;;USA;North America;Az;Environmental;;2014;;"Genome Trakr Project SRS726918; Serotype predicted by Crotrait WGS analysis";10.1016/j.ijfoodmicro.2021.109405;;;;;3;-1;2015-06-17;2023-10-28;
ND_PM0241;1338;CFSAN019573;;C. sakazakii;;Csak O2;;USA;North America;Az;Environmental;;2014;;"Genome Trakr Project SRS726917; Serotype predicted by Crotrait WGS analysis";10.1016/j.ijfoodmicro.2021.109405;;;;;3;-1;2015-06-17;2023-10-28;
ND_PM0242;1339;CFSAN022311;;C. sakazakii;;Csak O1;;USA;North America;WI;Environmental;;2014;;"Genome Trakr Project SRS726915; Serotype predicted by Crotrait WGS analysis";10.1016/j.ijfoodmicro.2021.109405;;;;;3;-1;2015-06-17;2023-10-28;
ND_PM0243;1340;CFSAN022310;;C. sakazakii;;Csak O1;;USA;North America;WI;Environmental;;2014;;"Genome Trakr Project SRS726914; Serotype predicted by Crotrait WGS analysis";10.1016/j.ijfoodmicro.2021.109405;;;;;3;-1;2015-06-17;2023-10-28;
ND_PM0244;1341;CFSAN022308;;C. dublinensis;;;;USA;North America;Or;Environmental;;2014;;Genome Trakr Project SRS726913;;;;;;3;-1;2015-06-17;2023-12-28;
ND_PM0245;1342;CFSAN022304;;C. dublinensis;;;;USA;North America;Or;Environmental;;2014;;Genome Trakr Project SRS726912;;;;;;3;-1;2015-06-17;2023-12-28;
ND_PM0246;1343;CFSAN022302;;C. dublinensis;;Cdub O6;;USA;North America;Or;Environmental;;2014;;"Genome Trakr Project SRS726910; Serotype predicted by Crotrait WGS analysis";10.1016/j.ijfoodmicro.2021.109405;;;;;3;-1;2015-06-17;2023-12-28;
ND_PM0247;1344;CFSAN022299;;C. sakazakii;;Csak O1;;USA;North America;Or;Environmental;;2014;;"Genome Trakr Project SRS726909; Serotype predicted by Crotrait WGS analysis";10.1016/j.ijfoodmicro.2021.109405;;;;;3;-1;2015-06-17;2023-10-28;
ND_PM0248;1345;CFSAN019558;;C. sakazakii;;Csak O1;;USA;North America;WI;Environmental;;2014;;"Genome Trakr Project SRS726908; Serotype predicted by Crotrait WGS analysis";10.1016/j.ijfoodmicro.2021.109405;;;;;3;-1;2015-06-17;2023-10-28;
ND_PM0249;1346;CFSAN022315;;C. sakazakii;;Csak O1;;USA;North America;WI;Environmental;;2014;;"Genome Trakr Project SRS726904; Serotype predicted by Crotrait WGS analysis";10.1016/j.ijfoodmicro.2021.109405;;;;;3;-1;2015-06-17;2023-10-28;
ND_PM0250;1347;CFSAN022313;;C. sakazakii;;Csak O1;;USA;North America;WI;Environmental;;2014;;"Genome Trakr Project SRS726903; Serotype predicted by Crotrait WGS analysis";10.1016/j.ijfoodmicro.2021.109405;;;;;3;-1;2015-06-17;2023-10-28;
ND_PM0251;1348;CFSAN019564;;C. sakazakii;;Csak O1;;USA;North America;WI;Environmental;;2014;;"Genome Trakr Project SRS726902; Serotype predicted by Crotrait WGS analysis";10.1016/j.ijfoodmicro.2021.109405;;;;;3;-1;2015-06-17;2023-10-28;
ND_PM0252;1349;CFSAN022293;;C. turicensis;;Ctur O6;;USA;North America;Or;Environmental;;2014;;"Genome Trakr Project SRS726901; Serotype predicted by Crotrait WGS analysis";10.1016/j.ijfoodmicro.2021.109405;;;;;3;-1;2015-06-17;2024-02-28;
ND_PM0253;1350;CFSAN022312;;C. sakazakii;;Csak O1;;USA;North America;WI;Environmental;;2014;;"Genome Trakr Project SRS726900; Serotype predicted by Crotrait WGS analysis";10.1016/j.ijfoodmicro.2021.109405;;;;;3;-1;2015-06-17;2023-10-28;
ND_PM0254;1351;CFSAN022309;;C. dublinensis;;Cdub O6;;USA;North America;Or;Environmental;;2014;;"Genome Trakr Project SRS726899; Serotype predicted by Crotrait WGS analysis";10.1016/j.ijfoodmicro.2021.109405;;;;;3;-1;2015-06-17;2023-12-28;
ND_PM0255;1352;CFSAN019572;;C. sakazakii;;Csak O4;;USA;North America;Az;Environmental;;2014;;"Genome Trakr Project SRS726898; Serotype predicted by Crotrait WGS analysis";10.1016/j.ijfoodmicro.2021.109405;;;;;3;-1;2015-06-17;2023-12-28;
ND_PM0256;1353;CFSAN019565;;C. sakazakii;;Csak O1;;USA;North America;WI;Environmental;;2014;;"Genome Trakr Project SRS726897; Serotype predicted by Crotrait WGS analysis";10.1016/j.ijfoodmicro.2021.109405;;;;;3;-1;2015-06-17;2023-10-28;
ND_PM0257;1354;CFSAN019575;;C. sakazakii;;Csak O2;;USA;North America;Az;Environmental;;2014;;"Genome Trakr Project SRS726895; Serotype predicted by Crotrait WGS analysis";10.1016/j.ijfoodmicro.2021.109405;;;;;3;-1;2015-06-17;2024-02-28;
ND_PM0258;1355;CFSAN022314;;C. sakazakii;;Csak O1;;USA;North America;WI;Environmental;;2014;;"Genome Trakr Project SRS726891; Serotype predicted by Crotrait WGS analysis";10.1016/j.ijfoodmicro.2021.109405;;;;;3;-1;2015-06-17;2023-10-28;
ND_PM0259;1356;CFSAN022306;;C. dublinensis;;;;USA;North America;Or;Environmental;;2014;;Genome Trakr Project SRS726890;;;;;;3;-1;2015-06-17;2023-12-28;
ND_PM0260;1357;CFSAN022307;;C. dublinensis;;Cdub O6;;USA;North America;Or;Environmental;;2014;;"Genome Trakr Project SRS726873; Serotype predicted by Crotrait WGS analysis";10.1016/j.ijfoodmicro.2021.109405;;;;;3;-1;2015-06-17;2023-12-28;
ND_PM0261;1358;CFSAN019568;;C. sakazakii;;Csak O1;;USA;North America;WI;Environmental;;2014;;"Genome Trakr Project SRS726872; Serotype predicted by Crotrait WGS analysis";10.1016/j.ijfoodmicro.2021.109405;;;;;3;-1;2015-06-17;2023-10-28;
ND_PM0262;1359;CFSAN022317;;C. sakazakii;;Csak O1;;USA;North America;WI;Environmental;;2014;;"Genome Trakr Project SRS726867; Serotype predicted by Crotrait WGS analysis";10.1016/j.ijfoodmicro.2021.109405;;;;;3;-1;2015-06-17;2023-10-28;
ND_PM0263;1360;CFSAN022303;;C. dublinensis;;;;USA;North America;Or;Environmental;;2014;;Genome Trakr Project SRS726863;;;;;;3;-1;2015-06-17;2023-12-28;
ND_PM0264;1361;CFSAN022298;;C. sakazakii;;Csak O1;;USA;North America;Or;Environmental;;2014;;"Genome Trakr Project SRS726862; Serotype predicted by Crotrait WGS analysis";10.1016/j.ijfoodmicro.2021.109405;;;;;3;-1;2015-06-17;2023-10-28;
ND_PM0265;1362;CFSAN022296;;C. dublinensis;;Cdub O1b;;USA;North America;Or;Environmental;;2014;;"Genome Trakr Project SRS726861; Serotype predicted by Crotrait WGS analysis";10.1016/j.ijfoodmicro.2021.109405;;;;;3;-1;2015-06-17;2023-10-28;
ND_PM0266;1363;CFSAN019563;;C. sakazakii;;Csak O1;;USA;North America;WI;Environmental;;2014;;"Equiv: ID 3597. Genome Trakr Project SRS726860; Serotype predicted by Crotrait WGS analysis";10.1016/j.ijfoodmicro.2021.109405;;;;;3;-1;2015-06-17;2023-10-28;
ND_PM0267;1364;CFSAN019562;;C. sakazakii;;Csak O1;;USA;North America;WI;Environmental;;2014;;"Equiv: ID 3596. Genome Trakr Project SRS726859; Serotype predicted by Crotrait WGS analysis";10.1016/j.ijfoodmicro.2021.109405;;;;;3;-1;2015-06-17;2023-10-28;
ND_PM0268;1365;CFSAN019560;;C. sakazakii;;Csak O1;;USA;North America;WI;Environmental;;2014;;"Genome Trakr Project SRS726833; New seq ID 3639; Serotype predicted by Crotrait WGS analysis";10.1016/j.ijfoodmicro.2021.109405;;;;;3;-1;2015-06-17;2023-10-28;
ND_PM0269;1366;FDA00008001;;C. sakazakii;;Csak O1;;USA;North America;Tx;Environmental;;2014;;"Genome Trakr Project SRS722939; Serotype predicted by Crotrait WGS analysis";10.1016/j.ijfoodmicro.2021.109405;;;;;3;-1;2015-06-17;2022-12-28;
ND_PM0270;1367;FDA00008006;;C. sakazakii;;Csak O2;;USA;North America;WI;Environmental;;2014;;"Genome Trakr Project SRS722938 Whey drying equipment; Serotype predicted by Crotrait WGS analysis";10.1016/j.ijfoodmicro.2021.109405;;;;;3;-1;2015-06-17;2024-02-28;
ND_PM0271;1368;FDA00008004;;C. sakazakii;;Csak O2;;USA;North America;CA;Environmental;;2014;;"Genome Trakr Project SRS722937; Serotype predicted by Crotrait WGS analysis";10.1016/j.ijfoodmicro.2021.109405;;;;;3;-1;2015-06-17;2023-12-28;
ND_PM0272;1369;FDA00008002;;C. sakazakii;;Csak O7;;USA;North America;Tx;Environmental;;2014;;"Genome Trakr Project SRS722936; Serotype predicted by Crotrait WGS analysis";10.1016/j.ijfoodmicro.2021.109405;;;;;3;-1;2015-06-17;2022-12-28;
ND_PM0273;1370;FDA00007991;;C. turicensis;;Ctur O6;;USA;North America;IA;Environmental;;2014;;"Genome Trakr Project SRS722935; Serotype predicted by Crotrait WGS analysis";10.1016/j.ijfoodmicro.2021.109405;;;;;3;-1;2015-06-17;2024-02-28;
ND_PM0274;1371;FDA00007990;;C. turicensis;;Ctur O3;;USA;North America;IA;Environmental;;2014;;"Genome Trakr Project  SRS722934; Serotype predicted by Crotrait WGS analysis";10.1016/j.ijfoodmicro.2021.109405;;;;;3;-1;2015-06-17;2024-02-28;
ND_PM0275;1372;FDA00008005;;C. sakazakii;;Csak O1;;USA;North America;CA;Environmental;;2014;;"Genome Trakr Project  SRS722933; Serotype predicted by Crotrait WGS analysis";10.1016/j.ijfoodmicro.2021.109405;;;;;3;-1;2015-06-17;2024-02-28;
ND_PM0276;1379;Sc-2263;E1;other;;Scol O3;;UK;Europe;;Tea;;2015;;Tea bag. Serotype defined by galF-gnd alleles;;;;;;3;3;2015-06-27;2023-09-28;
ND_PM0277;1386;2270;E8;C. sakazakii;;Csak O1;;UK;Europe;;Tea;;2015;;"Serotype predicted by Crotrait WGS analysis; Tea bag";10.1016/j.ijfoodmicro.2021.109405;;;;;3;-1;2015-06-27;2024-02-28;
ND_PM0278;1476;Fp-DJ34;;other;;Fpul O5;;India;Asia;;Environmental;;2015;;Oil degrader 16S Genbank : EF059835 Genbank genome: LFEJ00000000 Published as 'Cronobacter'. Serotype defined by galF-gnd alleles;;;;;;3;3;2016-01-02;2023-09-28;
ND_PM0279;1477;PO58;DRR015665;C. universalis;;Cuni O1;;Unknown;;;;;;;"SRA DRR015665 GMGC; Serotype predicted by Crotrait WGS analysis";10.1016/j.ijfoodmicro.2021.109405;;;;;3;-1;2016-01-27;2023-12-28;
ND_PM0280;1478;377;"E736; F37/50; NCIMB 8272 NCTC 8155";C. sakazakii;1;Csak O2;;UK;Europe;;Milk powder;;1950;;Serotype predicted by Crotrait WGS analysis;10.1016/j.ijfoodmicro.2021.109405;;;;;3;-1;2015-08-05;2024-02-28;"Iversen et al. 2004 J Clin Microbiol 42:5368-70;Baldwin et al. 2009 BMC Microbiol 9:223;Joseph et al. 2012 J Clin Microbiol 50:3031-9;Joseph et al. 2012 Front Microbiol 3:397"
ND_PM0281;1479;1826;;C. malonaticus;;Cmal O2;;Czech Republic;Europe;;Clinical;;2007;;Serotype predicted by Crotrait WGS analysis;10.1016/j.ijfoodmicro.2021.109405;;;;;3;-1;2015-08-07;2024-02-28;
ND_PM0282;1482;1847;;C. sakazakii;;Csak O1;;Czech Republic;Europe;;Milk powder;;2010;;Serotype predicted by Crotrait WGS analysis;10.1016/j.ijfoodmicro.2021.109405;;;;;3;-1;2015-08-07;2023-12-28;
ND_PM0283;1483;1908;;C. sakazakii;;Csak O4;;Malaysia;Asia;;Environmental;;2012;;"Bottle rack, NICU; Serotype predicted by Crotrait WGS analysis";10.1016/j.ijfoodmicro.2021.109405;;;;;3;-1;2015-08-07;2024-02-28;
ND_PM0284;1484;523;;C. malonaticus;9;Cmal O1;;Czech Republic;Europe;;Clinical;;1983;;"No further clinical information; Serotype predicted by Crotrait WGS analysis";10.1016/j.ijfoodmicro.2021.109405;;;;;3;-1;2015-08-07;2024-02-28;"Joseph et al. 2012 J Clin Microbiol 50:3031-9;Joseph et al. 2012 Front Microbiol 3:397"
ND_PM0285;1485;535;;C. malonaticus;13a;;;New Zealand;Oceania;;Infant formula;;1988;;Biotype index strain;;;;;;3;-1;2015-08-07;2024-02-28;"Muytjens et al. 1988 J Clin Microbiol 26:743-6;Iversen et al. 2006 BMC Microbiol 6:94;Baldwin et al. 2009 BMC Microbiol 9:223;Joseph et al. 2012 J Clin Microbiol 50:3031-9;Joseph et al. 2012 Front Microbiol 3:397"
ND_PM0286;1486;Chcon-1;;C. sakazakii;;Csak O2;;China;Asia;;Infant formula;;2006;;Serotype predicted by Crotrait WGS analysis;10.1016/j.ijfoodmicro.2021.109405;;;;;3;-1;2015-08-10;2023-12-28;
ND_PM0287;1487;Chcon-2;;C. sakazakii;;Csak O2;;China;Asia;;Infant formula;;2006;;Serotype predicted by Crotrait WGS analysis;10.1016/j.ijfoodmicro.2021.109405;;;;;3;-1;2015-08-10;2024-02-28;
ND_PM0288;1488;Chcon-3;;C. malonaticus;;Cmal O3;;China;Asia;;Water;;2010;;"Potable water; Serotype predicted by Crotrait WGS analysis";10.1016/j.ijfoodmicro.2021.109405;;;;;3;-1;2015-08-10;2024-02-28;
ND_PM0289;1489;Chcon-4;;C. malonaticus;;Cmal O2;;China;Asia;;Water;;2010;;"Potable water; Serotype predicted by Crotrait WGS analysis";10.1016/j.ijfoodmicro.2021.109405;;;;;3;-1;2015-08-10;2024-02-28;
ND_PM0290;1490;Chcon-5;;C. turicensis;;Ctur O3;;China;Asia;;Water;;2010;;"Potable water; Serotype predicted by Crotrait WGS analysis";10.1016/j.ijfoodmicro.2021.109405;;;;;3;-1;2015-08-10;2024-02-28;
ND_PM0291;1491;Chcon-6;;C. malonaticus;;Cmal O2;;China;Asia;;Water;;2010;;"Potable water; Serotype predicted by Crotrait WGS analysis";10.1016/j.ijfoodmicro.2021.109405;;;;;3;-1;2015-08-10;2024-02-28;
ND_PM0292;1492;Chcon-7;;C. dublinensis;;Cdub O7;;China;Asia;;Water;;2010;;"Potable water; Serotype predicted by Crotrait WGS analysis";10.1016/j.ijfoodmicro.2021.109405;;;;;3;-1;2015-08-10;2024-02-28;
ND_PM0293;1493;Chcon-8;;C. sakazakii;;Csak O2;;China;Asia;;Infant formula;;2012;;Serotype predicted by Crotrait WGS analysis;10.1016/j.ijfoodmicro.2021.109405;;;;;3;-1;2015-08-10;2024-02-28;
ND_PM0294;1494;Chcon-9;RM1;C. malonaticus;;Cmal O1;;China;Asia;;Clinical;;2014;;"Cerebral spinal fluid. Note this isolate had multiple antibiotic resistance and also K2:CA2:Cell+ capsule profile.   Ogrodzki, P., & Forsythe, S. (2015) BMC Genomics 16:758.  Cui JH, et al. (2017) Biomed Environ Sci  30:601-605.; Serotype predicted by Crotrait WGS analysis";10.1016/j.ijfoodmicro.2021.109405;;;;;3;-1;2015-08-10;2024-02-28;
ND_PM0295;1495;Chcon-10;RL2;C. sakazakii;;Csak O7;;China;Asia;;Clinical;;2014;;"Blood, fatal; Serotype predicted by Crotrait WGS analysis";10.1016/j.ijfoodmicro.2021.109405;;;;;3;-1;2015-08-10;2023-10-28;
ND_PM0296;1496;PO59;DRR015666;C. universalis;;Cuni O1;;Unknown;;;;;;;"SRA DRR015666  GMCG; Serotype predicted by Crotrait WGS analysis";10.1016/j.ijfoodmicro.2021.109405;;;;;3;-1;2016-01-27;2023-12-28;
ND_PM0297;1497;PO60;DRR015698;C. muytjensii;;Cmuyt O2;;Unknown;;;;;;;"SRA DRR015698 GMGC; Serotype predicted by Crotrait WGS analysis";10.1016/j.ijfoodmicro.2021.109405;;;;;3;-1;2016-01-27;2024-02-28;
ND_PM0298;1498;PO61;DRR015699;C. muytjensii;;Cmuyt O2;;Unknown;;;;;;;"SRA DRR015699 GMGC; Serotype predicted by Crotrait WGS analysis";10.1016/j.ijfoodmicro.2021.109405;;;;;3;-1;2016-01-27;2024-02-28;
ND_PM0299;1499;PO62;DRR015811;C. malonaticus;;Cmal O1;;Unknown;;;;;;;"SRA DRR015811  GMGC C dublinensis; Serotype predicted by Crotrait WGS analysis";10.1016/j.ijfoodmicro.2021.109405;;;;;3;-1;2016-01-27;2024-02-28;
ND_PM0300;1501;PO64;DRR015813;C. turicensis;;Ctur O4;;Unknown;;;;;;;"SRA DRR015813 GMGC; Serotype predicted by Crotrait WGS analysis";10.1016/j.ijfoodmicro.2021.109405;;;;;3;-1;2016-01-27;2023-12-28;
ND_PM0301;1502;PO65;DRR015912;C. sakazakii;;Csak O1;;Unknown;;;;;;;"SRA DRR015912 GMGC Cmalonaticus; Serotype predicted by Crotrait WGS analysis";10.1016/j.ijfoodmicro.2021.109405;;;;;3;-1;2016-01-27;2024-02-28;
ND_PM0302;1503;PO66;DRR015913 ;C. malonaticus;;Cmal O6;;Unknown;;;;;;;"SRA DRR015913 GMGC; Serotype predicted by Crotrait WGS analysis";10.1016/j.ijfoodmicro.2021.109405;;;;;3;-1;2016-01-27;2024-02-28;
ND_PM0303;1504;PO67;DRR015914;C. muytjensii;;Cmuyt O2;;Unknown;;;;;;;"SRA DRR015914 GMGC; Serotype predicted by Crotrait WGS analysis";10.1016/j.ijfoodmicro.2021.109405;;;;;3;-1;2016-01-27;2024-02-28;
ND_PM0304;1505;PO68;DRR015984;C. sakazakii;;Csak O1;;Unknown;;;;;;;"SRA DRR015984 GMGC; Serotype predicted by Crotrait WGS analysis";10.1016/j.ijfoodmicro.2021.109405;;;;;3;-1;2016-01-27;2024-02-28;
ND_PM0305;1506;PO69;DRR015985;C. sakazakii;;Csak O3;;Unknown;;;;;;;"SRA DRR015985 GMGC C dublinensis; Serotype predicted by Crotrait WGS analysis";10.1016/j.ijfoodmicro.2021.109405;;;;;3;-1;2016-01-27;2023-12-28;
ND_PM0306;1507;PO70;DRR015986;C. universalis;;Cuni O1;;Unknown;;;;;;;"SRA DRR015986 GMGC; Serotype predicted by Crotrait WGS analysis";10.1016/j.ijfoodmicro.2021.109405;;;;;3;-1;2016-01-27;2023-12-28;
ND_PM0307;1509;Eh-PO72;"e29; ERR474280";other;;;;Unknown;;;;;;;SRA ERR474280 BSAC Ehormaechei by rMLST analysis;;;;;;3;-1;2016-01-28;2022-10-28;
ND_PM0308;1510;Eh-PO73;"e1037; ERR474430";other;;;;Unknown;;;;;;;Ehormaechei by rMLST analysis;;;;;;3;-1;2016-01-28;2022-10-28;
ND_PM0309;1511;Eh-PO74;e1071 ERR474434;other;;;;Unknown;;;;;;;SRA ERR474434 BSAC. Ehormaechei by rMLST analysis;;;;;;3;-1;2016-01-28;2022-10-28;
ND_PM0310;1512;Eh-PO75;"e1075; ERR474435";other;;;;Unknown;;;;;;;SRA ERR474435 BSAC. Ehormaechei;;;;;;3;-1;2016-01-28;2022-10-28;
ND_PM0311;1513;Eh-PO76;"e1124; ERR474436";other;;;;Unknown;;;;;;;SRA ERR474436 BSAC;;;;;;3;-1;2016-01-28;2022-10-28;
ND_PM0312;1514;Eh-PO77;"e1169; ERR474449";other;;;;Unknown;;;;;;;SRA ERR474449 BSAC. Ehormaechei by rMLST analysis;;;;;;3;-1;2016-01-28;2022-10-28;
ND_PM0313;1515;Eh-PO78;"e1184; ERR474450";other;;;;Unknown;;;;;;;SRA ERR474450 BSAC. Ehormaechei by r-MLST analysis;;;;;;3;-1;2016-01-28;2022-10-28;
ND_PM0314;1516;Eh-PO79;"e1235; ERR474458";other;;;;Unknown;;;;;;;SRA ERR474458 BSAC. Ehormaechei by rMLST analysis;;;;;;3;-1;2016-01-28;2022-10-28;
ND_PM0315;1517;Eh-PO80;"e1239; ERR474461";other;;;;Unknown;;;;;;;SRA ERR474461 BSAC. Ehormaechei by rMLST analysis;;;;;;3;-1;2016-01-28;2022-10-28;
ND_PM0316;1518;Eh-PO81;"e77; ERR486105";other;;;;Unknown;;;;;;;SRA ERR486105 BSCA Ehormaechei by rMLST analysis;;;;;;3;-1;2016-01-28;2022-10-28;
ND_PM0317;1519;Eh-PO82;"e221; ERR586111";other;;;;Unknown;;;;;;;SRA ERR486111 BSAC. Ehormaechei by rMLST analysis;;;;;;3;-1;2016-01-28;2022-10-28;
ND_PM0318;1520;Eh-PO83;"e658; ERR486181";other;;;;Unknown;;;;;;;SRA ERR486181 BSAC Ehormaechei by rMLST analysis;;;;;;3;-1;2016-01-28;2022-10-28;
ND_PM0319;1521;Ent-PO84;"e688; ERR486184";other;;;;Unknown;;;;;;;SRA ERR486184 BSAC. Enterobacter species uncertain by rMLST analysis;;;;;;3;-1;2016-01-28;2022-12-28;
ND_PM0320;1522;El-PO85;"e491; ERR502554";other;;;;Unknown;;;;;;;SRA ERR502554 BSAC. Eludwiggi by rMLST analysis;;;;;;3;3;2016-01-28;2022-03-04;
ND_PM0321;1527;Ent-766;;other;;;;France;Europe;;Clinical;;1994;;"French outbreak. Initially mis-identified as 'Esakazakii'. Fatal neonatal sepsis.  J Clin Microbiol. 2007;45:3979. fusA=Emori/Ecancerogenus.";;;;;;3;-1;2016-03-01;2022-10-28;
ND_PM0322;1554;1330-G;"CECT7863T LMG26250T; E1021";C. condimenti;;Ccond O1;;Slovakia;Europe;;Food;;2010;;"Sequenced on PacBio Chromosome CP012264.1 Plasmid CP012265.1; Serotype predicted by Crotrait WGS analysis. RefSeq GCF_001277255.1";10.1016/j.ijfoodmicro.2021.109405;;SAMN03938712;;GCA_001277255.1;3;1;2016-04-02;2023-11-27;
ND_PM0323;1555;LMG23823;"E930; LMG23823T DSM18705T DES187 CFS237";C. dublinensis;;Cdub O1a;;Ireland;Europe;;Environmental;;2004;;"PacBio Chromosome CP012266.1 Plasmid CP012267.1; Serotype predicted by Crotrait WGS analysis";10.1016/j.ijfoodmicro.2021.109405;;;;;3;-1;2016-04-02;2023-12-28;
ND_PM0324;1556;LMG23826;E825;C. malonaticus;;Cmal O2;;USA;North America;;Clinical;;1977;;"PacBio Chromosome CP013940.1 Plasmid 1 CP013941.1 Plasmid 2 CP013942.1; Serotype predicted by Crotrait WGS analysis";10.1016/j.ijfoodmicro.2021.109405;;;;;3;-1;2016-04-02;2024-02-28;
ND_PM0325;1557;NCTC9529T;E797;C. universalis;;Cuni O1;;UK;Europe;;Water;;1956;;"PacBio Chromosome CP012257.1 Plasmid CP012258.1; Serotype predicted by Crotrait WGS analysis";10.1016/j.ijfoodmicro.2021.109405;;;;;3;-1;2016-04-02;2023-12-28;
ND_PM0326;1558;NCTC8155;"E736; F37/50; NCIMB 8272 NCTC 8155";C. sakazakii;;Csak O2;;UK;Europe;;Milk powder;;1950;;"PacBio Chromosome CP012253.1 Plasmid 1 CP012254.1 Plasmid 2 CP012255.1 Plasmid 3 CP012256.1.; RefSeq: NZ_CP012253.1; Serotype predicted by Crotrait WGS analysis";10.1016/j.ijfoodmicro.2021.109405;;;;GCA_001277275.1;3;-1;2016-04-02;2024-02-28;
ND_PM0327;1559;ATCC51329;E603;C. muytjensii;;Cmuyt O2;;Unknown;;;Unknown;;;;"PacBio Chromosome CP012268.1; Serotype predicted by Crotrait WGS analysis";10.1016/j.ijfoodmicro.2021.109405;;;;;3;-1;2016-04-02;2024-02-28;
ND_PM0328;1580;161007/29-EzTn-2-CM4;;C. malonaticus;;Cmal O3;;Slovakia;Europe;;;;;;"Phage resistant mutant with insertion EzTn; parent ID 1763; Serotype predicted by Crotrait WGS analysis";10.1016/j.ijfoodmicro.2021.109405;;;;;3;-1;2016-04-21;2024-02-28;
ND_PM0329;1581;161007/29-EzTn-1-CM4;;C. malonaticus;;Cmal O3;;Slovakia;Europe;;;;;;"Phage resistant mutant with insertion EzTn; parent ID 1763; Serotype predicted by Crotrait WGS analysis.";10.1016/j.ijfoodmicro.2021.109405;;;;;3;-1;2016-04-29;2024-02-28;
ND_PM0330;1582;161007/29-EzTn-4-CM4;;C. malonaticus;;Cmal O3;;Slovakia;Europe;;;;;;"Phage resistant mutant with insertion EzTn; parent ID 1763; Serotype predicted by Crotrait WGS analysis";10.1016/j.ijfoodmicro.2021.109405;;;;;3;-1;2016-04-29;2024-02-28;
ND_PM0331;1583;161007/29-9M-CM4;;C. malonaticus;;Cmal O3;;Slovakia;Europe;;;;;;"Phage resistant mutant with insertion EzTn; parent ID 1763; Serotype predicted by Crotrait WGS analysis";10.1016/j.ijfoodmicro.2021.109405;;;;;3;-1;2016-04-29;2024-02-28;
ND_PM0332;1584;161007/29-EzTn-9N-CM;;C. malonaticus;;Cmal O3;;Slovakia;Europe;;;;;;"Phage resistant mutant with insertion EzTn; parent ID 1763; Serotype predicted by Crotrait WGS analysis";10.1016/j.ijfoodmicro.2021.109405;;;;;3;-1;2016-04-29;2024-02-28;
ND_PM0333;1592;SDCR0074;25-3;C. turicensis;;;;China;Asia;;Spice;;2016;;AMR: blaCSA-2=COMPLETE,fos=HMM;;;SAMN25079021;;GCA_028578005.1;3;-1;2016-05-16;2024-02-28;
ND_PM0334;1673;CDC1121-73;;C. sakazakii;;Csak O2;;USA;North America;;Clinical;;;;"Malonate-positive Csak  Human bronchial wash isolate doi: 10.1128/genomeA.01072-16; Serotype predicted by Crotrait WGS analysis";10.1016/j.ijfoodmicro.2021.109405;;;;;3;-1;2016-11-18;2024-02-28;
ND_PM0335;1674;GK1025;;C. sakazakii;;Csak O2;;USA;North America;;Environmental;;;;"Malonate-utilizing Csak. From powdered infant formula manufacturing facility.  doi: 10.1128/genomeA.01072-16; Serotype predicted by Crotrait WGS analysis";10.1016/j.ijfoodmicro.2021.109405;;;;;3;-1;2016-11-18;2024-02-28;
ND_PM0336;1679;cro2915W;;C. dublinensis;;Cdub O2;;China;Asia;;Vegetable;;2015;;"Cucumber; Serotype predicted by Crotrait WGS analysis";10.1016/j.ijfoodmicro.2021.109405;;;;;3;-1;2016-12-13;2024-02-28;
ND_PM0337;1683;cro3314A1;;C. dublinensis;;Cdub O1b;;China;Asia;;Herb;;2015;;"Coriander; Original PCR predicted O-serotype (Cdub O1) corrected after Crotrait WGS analysis";10.1016/j.ijfoodmicro.2021.109405;;;;;3;-1;2016-12-13;2023-12-28;
ND_PM0338;1684;cro3314A3-1;;C. dublinensis;;Cdub O1a;;China;Asia;;Herb;;2015;;"Coriander; Original PCR predicted O-serotype (Cdub O1) corrected after Crotrait WGS analysis";10.1016/j.ijfoodmicro.2021.109405;;;;;3;-1;2016-12-13;2024-02-28;
ND_PM0339;1686;cro2864A2;;C. dublinensis;;Cdub O1b;;China;Asia;;Herb;;2015;;"Coriander; Original PCR predicted O-serotype (Cdub O2) corrected after Crotrait WGS analysis";10.1016/j.ijfoodmicro.2021.109405;;;;;3;-1;2016-12-13;2023-12-28;
ND_PM0340;1691;cro4215W;;C. sakazakii;;;;China;Asia;;Food ingredient;;2015;;Vegetables WGS entry 3130;;;;;;3;-1;2016-12-13;2023-12-28;
ND_PM0341;1709;XZCRO005;;C. dublinensis;;Cdub O1b;;China;Asia;Jiangsu Province;Spice;;2015;;Original PCR predicted O-serotype (Cdub O1) corrected after Crotrait WGS analysis;10.1016/j.ijfoodmicro.2021.109405;;;;;3;-1;2017-02-10;2024-02-28;
ND_PM0342;1713;XZCRO009;;C. turicensis;;Ctur O3;;China;Asia;Shanghai;Spice;;2015;;Serotype predicted by Crotrait WGS analysis;10.1016/j.ijfoodmicro.2021.109405;;;;;3;-1;2017-02-10;2024-02-28;
