ND_ID;Assembly Accession;Annotation Count Gene Non-coding;Annotation Count Gene Protein-coding
ND_NC0608;GCF_002974805.1;86;3965
ND_NC0609;GCF_002974835.1;83;4213
ND_NC0610;GCF_002974855.1;86;4011
ND_NC0611;GCF_002974875.1;82;4123
ND_NC0612;GCF_002974895.1;78;4363
ND_NC0613;GCF_002974915.1;89;4311
ND_NC0614;GCF_002974935.1;79;4240
ND_NC0615;GCF_002974955.1;77;4030
ND_NC0616;GCF_002974975.1;89;4305
ND_NC0617;GCF_002974985.1;82;4141
ND_NC0618;GCF_002975015.1;80;4201
ND_NC0619;GCF_002975035.1;80;4128
ND_NC0620;GCF_002975055.1;87;4209
ND_NC0621;GCF_002975075.1;81;4206
ND_NC0622;GCF_002975095.1;83;4097
ND_NC0623;GCF_002975135.1;89;4267
ND_NC0624;GCF_002975155.1;81;4145
ND_NC0625;GCF_002976495.1;81;4250
ND_NC0626;GCF_002976595.1;118;4168
ND_NC0627;GCF_002976615.1;106;4063
ND_NC0628;GCF_002976635.1;125;4006
ND_NC0629;GCF_002976645.2;126;3961
ND_NC0630;GCF_002976665.1;114;3913
ND_NC0631;GCF_002976695.1;105;3978
ND_NC0632;GCF_002976715.1;123;4000
ND_NC0633;GCF_002976735.1;126;3970
ND_NC0634;GCF_002976755.1;112;3905
ND_NC0635;GCF_002976775.1;141;4262
ND_NC0636;GCF_002976795.1;129;4000
ND_NC0637;GCF_002976815.1;111;4114
ND_NC0638;GCF_002976835.1;99;3804
ND_NC0639;GCF_002976855.1;93;3917
ND_NC0640;GCF_002976875.1;82;3980
ND_NC0641;GCF_002976895.1;99;3955
ND_NC0642;GCF_002976915.1;83;3764
ND_NC0643;GCF_002976935.1;87;3776
ND_NC0644;GCF_002976955.2;119;4372
ND_NC0645;GCF_002976965.2;133;4384
ND_NC0646;GCF_002976995.1;108;4010
ND_NC0647;GCF_002977005.2;143;4077
ND_NC0648;GCF_002977035.2;119;4026
ND_NC0649;GCF_002977045.1;93;3732
ND_NC0650;GCF_002977055.1;114;4039
ND_NC0651;GCF_002977095.1;92;3809
ND_NC0652;GCF_002977115.1;116;4003
ND_NC0653;GCF_002977125.1;136;3981
ND_NC0654;GCF_002977155.1;155;3939
ND_NC0655;GCF_002977175.1;84;3849
ND_NC0656;GCF_002977195.1;107;4262
ND_NC0657;GCF_002977215.1;101;3994
ND_NC0658;GCF_002977235.1;89;3791
ND_NC0659;GCF_002977245.1;113;3808
ND_NC0660;GCF_002977275.1;134;3920
ND_NC0661;GCF_002977295.1;153;3971
ND_NC0662;GCF_002977315.1;133;4267
ND_NC0663;GCF_002977325.1;81;3941
ND_NC0664;GCF_002977355.1;98;4153
ND_NC0665;GCF_002977375.1;114;3939
ND_NC0666;GCF_002977395.1;99;3658
ND_NC0667;GCF_002977405.1;133;4217
ND_NC0668;GCF_002977435.1;107;4048
ND_NC0669;GCF_002977445.1;112;4051
ND_NC0670;GCF_002977475.1;109;4162
ND_NC0671;GCF_002977495.1;92;3907
ND_NC0672;GCF_002977515.1;93;3793
ND_NC0673;GCF_002977525.1;115;4075
ND_NC0674;GCF_002977555.1;91;3796
ND_NC0675;GCF_002977575.1;104;4015
ND_NC0676;GCF_002977595.1;101;3975
ND_NC0677;GCF_002977605.1;114;3943
ND_NC0678;GCF_002977635.1;95;3972
ND_NC0679;GCF_002977655.1;126;4210
ND_NC0680;GCF_002977675.1;120;3733
ND_NC0681;GCF_002977685.1;111;4026
ND_NC0682;GCF_002977715.1;122;4163
ND_NC0683;GCF_002977735.1;95;3989
ND_NC0684;GCF_002977755.1;88;4175
ND_NC0685;GCF_002977765.1;120;4097
ND_NC0686;GCF_002977775.1;119;4130
ND_NC0687;GCF_002977785.1;85;3905
ND_NC0688;GCF_002977835.1;124;4141
ND_NC0689;GCF_002977855.1;82;4031
ND_NC0690;GCF_002977865.1;106;4244
ND_NC0691;GCF_002977895.1;96;4040
ND_NC0692;GCF_002977905.1;112;3932
ND_NC0693;GCF_002977935.1;103;4120
ND_NC0694;GCF_002977955.1;107;4057
ND_NC0695;GCF_002977975.1;93;3844
ND_NC0696;GCF_002977985.1;100;3766
ND_NC0697;GCF_002977995.1;122;3984
ND_NC0698;GCF_002978035.1;124;4126
ND_NC0699;GCF_002978055.1;114;4181
ND_NC0700;GCF_002978075.1;126;3944
ND_NC0701;GCF_002978085.1;113;4022
ND_NC0702;GCF_002978105.1;364;3996
ND_NC0703;GCF_002993165.1;82;4029
ND_NC0704;GCF_002993175.1;78;4140
ND_NC0705;GCF_002993205.1;82;4248
ND_NC0706;GCF_002993215.1;83;4227
ND_NC0707;GCF_002999875.1;88;4044
ND_NC0708;GCF_003062265.1;89;4119
ND_NC0709;GCF_003177135.1;89;3963
ND_NC0710;GCF_003177155.1;77;4133
ND_NC0711;GCF_003177165.1;76;4036
ND_NC0712;GCF_003206315.1;88;4072
ND_NC0713;GCF_003206325.1;88;4074
ND_NC0714;GCF_003206355.1;85;4070
ND_NC0715;GCF_003206365.1;85;4071
ND_NC0716;GCF_003206395.1;90;4196
ND_NC0717;GCF_003206415.1;89;4145
ND_NC0718;GCF_003206435.1;93;3987
ND_NC0719;GCF_003206445.1;88;3988
ND_NC0720;GCF_003206905.1;91;4070
ND_NC0721;GCF_003206925.1;91;4160
ND_NC0722;GCF_003206935.1;95;4291
ND_NC0723;GCF_003206965.1;87;4071
ND_NC0724;GCF_003206985.1;90;3988
ND_NC0725;GCF_003207005.1;85;4071
ND_NC0726;GCF_003207025.1;91;4159
ND_NC0727;GCF_003207055.1;90;4241
ND_NC0728;GCF_003207075.1;85;4141
ND_NC0729;GCF_003207095.1;90;3958
ND_NC0730;GCF_003207115.1;90;4065
ND_NC0731;GCF_003207135.1;92;4117
ND_NC0732;GCF_003207145.1;93;4147
ND_NC0733;GCF_003207175.1;88;3993
ND_NC0734;GCF_003207195.1;89;4069
ND_NC0735;GCF_003207235.1;92;4067
ND_NC0736;GCF_003207255.1;87;3989
ND_NC0737;GCF_003207275.1;92;4113
ND_NC0738;GCF_003207315.1;89;4066
ND_NC0739;GCF_003207335.1;94;4214
ND_NC0740;GCF_003207345.1;90;4070
ND_NC0741;GCF_003207375.1;95;4214
ND_NC0742;GCF_003207395.1;92;4062
ND_NC0743;GCF_003207405.1;90;4145
ND_NC0744;GCF_003207435.1;89;4069
ND_NC0745;GCF_003207455.1;87;4071
ND_NC0746;GCF_003207475.1;87;4071
ND_NC0747;GCF_003207495.1;95;4190
ND_NC0748;GCF_003207515.1;88;4071
ND_NC0749;GCF_003207535.1;87;4069
ND_NC0750;GCF_003207555.1;88;4075
ND_NC0751;GCF_003207575.1;88;4102
ND_NC0752;GCF_003207595.1;88;3986
ND_NC0753;GCF_003207615.1;94;4200
ND_NC0754;GCF_003207635.1;85;4067
ND_NC0755;GCF_003207645.1;87;3986
ND_NC0756;GCF_003207675.1;87;4066
ND_NC0757;GCF_003207715.1;88;4073
ND_NC0758;GCF_003207725.1;88;3986
ND_NC0759;GCF_003207755.1;93;4175
ND_NC0760;GCF_003207775.1;90;4143
ND_NC0761;GCF_003313525.1;87;4072
ND_NC0762;GCF_003515885.1;79;4357
ND_NC0763;GCF_003515895.1;84;4064
ND_NC0764;GCF_003516105.2;113;4463
ND_NC0765;GCF_003858295.1;92;4280
ND_NC0766;GCF_003858315.1;79;4466
ND_NC0767;GCF_003858325.1;91;4249
ND_NC0768;GCF_003858335.1;95;4246
ND_NC0769;GCF_003955925.1;115;4492
ND_NC0770;GCF_006861625.1;87;4079
ND_NC0771;GCF_006861635.1;92;3937
ND_NC0772;GCF_008119835.1;98;4135
ND_NC0773;GCF_008830265.1;84;3913
ND_NC0774;GCF_008830285.1;80;4107
ND_NC0775;GCF_009648895.1;114;4158
ND_NC0776;GCF_009938355.1;81;3994
ND_NC0777;GCF_009938385.1;85;4226
ND_NC0778;GCF_009938455.1;91;4204
ND_NC0779;GCF_009938505.1;64;4044
ND_NC0780;GCF_009938585.1;79;3991
ND_NC0781;GCF_009938685.1;66;4191
ND_NC0782;GCF_009938705.1;50;4309
ND_NC0783;GCF_009938715.1;84;3959
ND_NC0784;GCF_009938765.1;48;4179
ND_NC0785;GCF_009938785.1;91;3959
ND_NC0786;GCF_009938805.1;89;4137
ND_NC0787;GCF_009938825.1;44;3848
ND_NC0788;GCF_009938835.1;88;3973
ND_NC0789;GCF_009938885.1;84;4042
ND_NC0790;GCF_011605455.1;99;4092
ND_NC0791;GCF_011605485.1;93;4004
ND_NC0792;GCF_011605495.1;95;4150
ND_NC0793;GCF_011605525.1;98;4093
ND_NC0794;GCF_011605555.1;98;4092
ND_NC0795;GCF_011605585.1;98;4092
ND_NC0796;GCF_011605595.1;96;4373
ND_NC0797;GCF_011605645.1;96;4062
ND_NC0798;GCF_013186045.1;97;4079
ND_NC0799;GCF_013186055.1;103;4124
ND_NC0800;GCF_013186105.1;88;3873
ND_NC0801;GCF_013186115.1;96;4204
ND_NC0802;GCF_013186145.1;100;4112
ND_NC0803;GCF_013186165.1;100;4089
ND_NC0804;GCF_013186185.1;92;4074
ND_NC0805;GCF_013186195.1;101;4126
ND_NC0806;GCF_013186205.1;92;4139
ND_NC0807;GCF_013186245.1;99;4183
ND_NC0808;GCF_013186255.1;104;4125
ND_NC0809;GCF_013186285.1;88;4090
ND_NC0810;GCF_013186295.1;93;4013
ND_NC0811;GCF_013186325.1;112;4017
ND_NC0812;GCF_013363955.1;86;4083
ND_NC0813;GCF_013421565.1;113;4094
ND_NC0814;GCF_013425995.1;113;3867
ND_NC0815;GCF_016103025.1;119;4347
ND_NC0816;GCF_016620365.1;90;4151
ND_NC0817;GCF_017844935.1;88;3907
ND_NC0818;GCF_017844945.1;97;3907
ND_NC0819;GCF_017844975.1;88;3910
ND_NC0820;GCF_017844985.1;93;4089
ND_NC0821;GCF_017845015.1;94;4105
ND_NC0822;GCF_017845035.1;91;4156
ND_NC0823;GCF_017845055.1;92;4023
ND_NC0824;GCF_017845075.1;91;4020
ND_NC0825;GCF_017845095.1;87;4161
ND_NC0826;GCF_017845115.1;91;4157
ND_NC0827;GCF_017845175.1;90;4059
ND_NC0828;GCF_017845235.1;88;4076
ND_NC0829;GCF_017845275.1;89;4013
ND_NC0830;GCF_017845295.1;90;3978
ND_NC0831;GCF_017845305.1;98;4105
ND_NC0832;GCF_018223465.1;86;4022
ND_NC0833;GCF_018348415.1;123;4382
ND_NC0834;GCF_018348425.1;126;4385
ND_NC0835;GCF_018348455.1;101;3969
ND_NC0836;GCF_018348465.1;121;4403
ND_NC0837;GCF_018348495.1;122;4386
ND_NC0838;GCF_018348515.1;125;4379
ND_NC0839;GCF_018348565.1;118;4385
ND_NC0840;GCF_018884085.1;117;4195
ND_NC0841;GCF_018884105.1;112;4133
ND_NC0842;GCF_018884125.1;114;4061
ND_NC0843;GCF_018884145.1;117;4203
ND_NC0844;GCF_020869275.1;114;4395
ND_NC0845;GCF_021045105.1;90;4005
ND_NC0846;GCF_022607185.1;77;4065
ND_NC0847;GCF_022607205.1;71;4025
ND_NC0848;GCF_022607225.1;71;3834
ND_NC0849;GCF_022607245.1;75;4204
ND_NC0850;GCF_022607285.1;74;4196
ND_NC0851;GCF_022607295.1;71;4061
ND_NC0852;GCF_022607345.1;80;4212
ND_NC0853;GCF_022607365.1;76;4230
ND_NC0854;GCF_022607395.1;75;4123
ND_NC0855;GCF_022607445.1;73;4000
ND_NC0856;GCF_022607475.1;75;4218
ND_NC0857;GCF_022607565.1;71;4064
ND_NC0858;GCF_022607645.1;75;4005
ND_NC0859;GCF_022607665.1;75;3962
ND_NC0860;GCF_022607685.1;76;4066
ND_NC0861;GCF_022607705.1;75;4152
ND_NC0862;GCF_022607725.1;71;4112
ND_NC0863;GCF_022607765.1;78;4324
ND_NC0864;GCF_022607775.1;77;4061
ND_NC0865;GCF_022607805.1;70;4000
ND_NC0866;GCF_022607825.1;79;4179
ND_NC0867;GCF_022607845.1;77;4183
ND_NC0868;GCF_022607865.1;77;4058
ND_NC0869;GCF_022607885.1;77;4137
ND_NC0870;GCF_022607895.1;81;4154
ND_NC0871;GCF_022648965.1;115;4105
ND_NC0872;GCF_023805435.1;115;4056
ND_NC0873;GCF_025200595.1;114;3947
ND_NC0874;GCF_025345525.1;112;4109
ND_NC0875;GCF_025345545.1;115;4178
ND_NC0876;GCF_025630735.1;84;4075
ND_NC0877;GCF_027277105.1;96;4136
ND_NC0878;GCF_027277125.1;93;4085
ND_NC0879;GCF_027277145.1;99;4335
ND_NC0880;GCF_027277165.1;93;4088
ND_NC0881;GCF_027277175.1;96;4264
ND_NC0882;GCF_027277185.1;94;4224
ND_NC0883;GCF_027277225.1;93;4168
ND_NC0884;GCF_027277245.1;97;4212
ND_NC0885;GCF_027667165.1;87;3995
ND_NC0886;GCF_030846845.1;97;4122
ND_NC0887;GCF_030846865.1;101;4210
ND_NC0888;GCF_030846885.1;97;4187
ND_NC0889;GCF_030846925.1;100;4180
ND_NC0890;GCF_030846945.1;99;4209
ND_NC0891;GCF_030846965.1;98;4210
ND_NC0892;GCF_030846985.1;97;4181
ND_NC0893;GCF_030847005.1;100;4208
ND_NC0894;GCF_030847025.1;98;4189
ND_NC0895;GCF_030847045.1;94;4213
ND_NC0896;GCF_030847055.1;99;4214
ND_NC0897;GCF_030847075.1;97;4136
ND_NC0898;GCF_030847105.1;100;4290
ND_NC0899;GCF_030847125.1;97;4133
ND_NC0900;GCF_030847145.1;97;4136
ND_NC0901;GCF_030847155.1;99;4175
ND_NC0902;GCF_030847185.1;100;4212
ND_NC0903;GCF_030847215.1;96;4252
ND_NC0904;GCF_031190175.1;95;3860
ND_NC0905;GCF_031190185.1;110;3853
ND_NC0906;GCF_031190315.1;91;4027
ND_NC0907;GCF_031190475.1;111;3918
ND_NC0908;GCF_031190525.1;119;3968
ND_NC0909;GCF_031213335.1;116;4032
ND_NC0910;GCF_032025785.1;81;4034
ND_NC0911;GCF_032025845.1;71;4142
ND_NC0912;GCF_032025905.1;77;4001
ND_NC0913;GCF_032025965.1;75;4161
ND_NC0914;GCF_032025985.1;85;3969
ND_NC0915;GCF_032026005.1;74;4005
ND_NC0916;GCF_032026085.1;75;4055
ND_NC0917;GCF_032026125.1;80;3958
ND_NC0918;GCF_032026185.1;76;4156
ND_NC0919;GCF_032026225.1;84;4151
ND_NC0920;GCF_032026325.1;73;4180
ND_NC0921;GCF_032026345.1;83;3968
ND_NC0922;GCF_032026425.1;81;4339
ND_NC0923;GCF_032026485.1;76;4103
ND_NC0924;GCF_032026525.1;73;4098
ND_NC0925;GCF_032026585.1;80;4183
ND_NC0926;GCF_032026625.1;77;4335
ND_NC0927;GCF_032026645.1;83;4048
ND_NC0928;GCF_032026765.1;76;3952
ND_NC0929;GCF_032026785.1;73;4121
ND_NC0930;GCF_032026805.1;73;4048
ND_NC0931;GCF_032026845.1;80;4125
ND_NC0932;GCF_032026885.1;83;4130
ND_NC0933;GCF_032026905.1;78;4006
ND_NC0934;GCF_033053585.1;74;4173
ND_NC0935;GCF_033053595.1;65;4288
ND_NC0936;GCF_033053605.1;67;4338
ND_NC0937;GCF_033053645.1;69;4299
ND_NC0938;GCF_033053805.1;65;4449
ND_NC0939;GCF_033053815.1;63;4258
ND_NC0940;GCF_033053835.1;66;4302
ND_NC0941;GCF_033053885.1;103;4304
ND_NC0942;GCF_033053905.1;70;4069
ND_NC0943;GCF_033053985.1;69;4181
ND_NC0944;GCF_033054025.1;70;4170
ND_NC0945;GCF_033054045.1;63;4309
ND_NC0946;GCF_033054075.1;62;4312
ND_NC0947;GCF_033054105.1;101;4042
ND_NC0948;GCF_033054135.1;64;4166
ND_NC0949;GCF_033054225.1;66;4148
ND_NC0950;GCF_033054235.1;68;4309
ND_NC0951;GCF_033795295.1;99;4270
ND_NC0952;GCF_033795345.1;101;3991
ND_NC0953;GCF_033798465.1;99;4053
ND_NC0954;GCF_033798485.1;102;4068
ND_NC0955;GCF_033798505.1;93;4142
ND_NC0956;GCF_033798525.1;83;3753
ND_NC0957;GCF_034366645.1;90;4057
ND_NC0958;GCF_034513645.1;91;4161
ND_NC0959;GCF_035796055.1;89;4050
ND_NC0960;GCF_035796075.1;92;4303
ND_NC0961;GCF_035796155.1;83;4222
ND_NC0962;GCF_035796175.1;97;4285
ND_NC0963;GCF_035796195.1;91;4241
ND_NC0964;GCF_040830865.1;87;3964
ND_NC0965;GCF_041222885.1;122;4265
ND_NC0966;GCF_041222895.1;120;4131
ND_NC0967;GCF_041363375.1;83;4156
ND_NC0968;GCF_041409695.1;117;3977
ND_NC0969;GCF_046272085.1;114;4145
ND_NC0970;GCF_900447395.1;134;3705
ND_NC0971;GCF_900447495.1;115;4079
ND_NC0972;GCF_902387375.1;113;4279
ND_NC0973;GCF_963877075.1;89;4455
ND_NC0974;GCA_001735615.2;113;3693
ND_NC0975;GCA_001971125.1;;
ND_NC0976;GCA_001971185.1;;
ND_NC0977;GCA_001971245.1;;
ND_NC0978;GCA_001971255.1;;
ND_NC0979;GCA_001971285.1;;
ND_NC0980;GCA_001971295.1;;
ND_NC0981;GCA_001971325.1;;
ND_NC0982;GCA_002294395.1;;
ND_NC0983;GCA_007845755.1;84;4289
ND_NC0984;GCA_008805115.1;80;4223
ND_NC0985;GCA_008805125.1;78;4260
ND_NC0986;GCA_008805135.1;81;4318
ND_NC0987;GCA_008805175.1;86;4263
ND_NC0988;GCA_008805195.1;84;4405
ND_NC0989;GCA_008805215.1;89;4204
ND_NC0990;GCA_008805235.1;89;4371
ND_NC0991;GCA_008805255.1;91;4393
ND_NC0992;GCA_008805275.1;92;4210
ND_NC0993;GCA_008805295.1;83;4092
ND_NC0994;GCA_008805315.1;84;4331
ND_NC0995;GCA_008805335.1;85;4272
ND_NC0996;GCA_008805355.1;84;4258
ND_NC0997;GCA_008805375.1;83;4145
ND_NC0998;GCA_008805395.1;87;4240
ND_NC0999;GCA_008805415.1;81;4228
ND_NC1000;GCA_008805435.1;89;4448
ND_NC1001;GCA_008805455.1;84;4325
ND_NC1002;GCA_008805465.1;87;4443
ND_NC1003;GCA_008805495.1;84;4243
ND_NC1004;GCA_008805525.1;78;4111
ND_NC1005;GCA_008805555.1;82;4187
ND_NC1006;GCA_008805575.1;86;4210
ND_NC1007;GCA_008805595.1;80;4186
ND_NC1008;GCA_008805615.1;80;4183
ND_NC1009;GCA_008805635.1;88;4375
ND_NC1010;GCA_008805655.1;82;4145
ND_NC1011;GCA_008805675.1;90;4372
ND_NC1012;GCA_008805695.1;86;4124
ND_NC1013;GCA_008805715.1;89;4437
ND_NC1014;GCA_008805735.1;92;4461
ND_NC1015;GCA_008805755.1;83;4162
ND_NC1016;GCA_008805775.1;91;4436
ND_NC1017;GCA_008805795.1;88;4494
ND_NC1018;GCA_008805805.1;88;4442
ND_NC1019;GCA_008805835.1;85;4154
ND_NC1020;GCA_008805855.1;89;4506
ND_NC1021;GCA_008805875.1;81;4104
ND_NC1022;GCA_008805895.1;86;4320
ND_NC1023;GCA_008805915.1;83;4311
ND_NC1024;GCA_008805935.1;89;4388
ND_NC1025;GCA_008805955.1;87;4068
ND_NC1026;GCA_008805975.1;82;4293
ND_NC1027;GCA_008805995.1;91;4541
ND_NC1028;GCA_008806015.1;84;4337
ND_NC1029;GCA_008806035.1;85;4265
ND_NC1030;GCA_008806055.1;91;4279
ND_NC1031;GCA_008806075.1;83;4257
ND_NC1032;GCA_008806095.1;91;4210
ND_NC1033;GCA_008806115.1;90;4203
ND_NC1034;GCA_008806135.1;82;3821
ND_NC1035;GCA_008806155.1;82;4141
ND_NC1036;GCA_008806175.1;87;4119
ND_NC1037;GCA_008806195.1;90;4101
ND_NC1038;GCA_008806215.1;86;4250
ND_NC1039;GCA_008806235.1;76;4443
ND_NC1040;GCA_008806255.1;80;4398
ND_NC1041;GCA_008806275.1;76;4424
ND_NC1042;GCA_008806295.1;79;4345
ND_NC1043;GCA_008830245.1;80;4010
ND_NC1044;GCA_008830305.1;80;3997
ND_NC1045;GCA_008830325.1;85;4161
ND_NC1046;GCA_008830345.1;87;4252
ND_NC1047;GCA_008830395.1;95;4327
ND_NC1048;GCA_008922025.1;80;4464
ND_NC1049;GCA_008922065.1;84;3861
ND_NC1050;GCA_014858255.1;28;2225
ND_NC1051;GCA_015350575.1;86;4461
ND_NC1052;GCA_015350595.1;84;4151
ND_NC1053;GCA_015350625.1;85;3929
ND_NC1054;GCA_015350665.1;94;4176
ND_NC1055;GCA_015351615.1;89;4192
ND_NC1056;GCA_015352375.1;83;4223
ND_NC1057;GCA_015353215.1;88;4086
ND_NC1058;GCA_015353235.1;83;4105
ND_NC1059;GCA_015353275.1;81;4097
ND_NC1060;GCA_015353295.1;87;4132
ND_NC1061;GCA_015353335.1;82;4136
ND_NC1062;GCA_015353355.1;90;4386
ND_NC1063;GCA_015353375.1;102;4406
ND_NC1064;GCA_015353395.1;80;4168
ND_NC1065;GCA_015353425.1;93;4396
ND_NC1066;GCA_015353455.1;89;4086
ND_NC1067;GCA_015353515.1;90;4245
ND_NC1068;GCA_015353575.1;89;4161
ND_NC1069;GCA_015353595.1;90;4419
ND_NC1070;GCA_015353615.1;80;4133
ND_NC1071;GCA_015353635.1;88;3935
ND_NC1072;GCA_015353675.1;98;4197
ND_NC1073;GCA_015353695.1;85;4012
ND_NC1074;GCA_015353715.1;94;4102
ND_NC1075;GCA_015353735.1;87;4093
ND_NC1076;GCA_015353755.1;86;3929
ND_NC1077;GCA_015353795.1;83;4088
ND_NC1078;GCA_015353815.1;93;4103
ND_NC1079;GCA_015353835.1;81;4097
ND_NC1080;GCA_015353855.1;91;4107
ND_NC1081;GCA_015353875.1;88;4104
ND_NC1082;GCA_015353895.1;94;4111
ND_NC1083;GCA_015353915.1;80;4090
ND_NC1084;GCA_015353925.1;87;4002
ND_NC1085;GCA_015353955.1;78;4091
ND_NC1086;GCA_015353975.1;77;4104
ND_NC1087;GCA_015353995.1;90;4359
ND_NC1088;GCA_015354015.1;88;4207
ND_NC1089;GCA_015929525.1;87;4076
ND_NC1090;GCA_016070295.1;83;4339
ND_NC1091;GCA_016070495.1;79;4175
ND_NC1092;GCA_016070555.1;74;4247
ND_NC1093;GCA_016070695.1;78;4358
ND_NC1094;GCA_016070715.1;85;4368
ND_NC1095;GCA_016070735.1;75;4301
ND_NC1096;GCA_016070755.1;77;4268
ND_NC1097;GCA_016070775.1;77;4113
ND_NC1098;GCA_016070805.1;83;4285
ND_NC1099;GCA_016070835.1;73;4109
ND_NC1100;GCA_016070875.1;82;4349
ND_NC1101;GCA_016070895.1;71;4202
ND_NC1102;GCA_016070915.1;75;4278
ND_NC1103;GCA_016070935.1;75;4235
ND_NC1104;GCA_016070955.1;70;4133
ND_NC1105;GCA_016071005.1;77;4209
ND_NC1106;GCA_016071035.1;76;4073
ND_NC1107;GCA_016071075.1;73;4281
ND_NC1108;GCA_016071585.1;74;4200
ND_NC1109;GCA_016071625.1;77;4224
ND_NC1110;GCA_016075955.1;88;4254
ND_NC1111;GCA_016076265.1;89;4136
ND_NC1112;GCA_016076315.1;89;4268
ND_NC1113;GCA_016076325.1;90;4090
ND_NC1114;GCA_016076435.1;91;4134
ND_NC1115;GCA_016076455.1;87;4316
ND_NC1116;GCA_016076475.1;91;4412
ND_NC1117;GCA_016076525.1;87;4257
ND_NC1118;GCA_016076565.1;86;4259
ND_NC1119;GCA_016076595.1;82;4317
ND_NC1120;GCA_016076635.1;87;4335
ND_NC1121;GCA_016076655.1;79;4245
ND_NC1122;GCA_016076675.1;90;4102
ND_NC1123;GCA_016076705.1;95;4242
ND_NC1124;GCA_016076735.1;86;4143
ND_NC1125;GCA_016076755.1;85;3846
ND_NC1126;GCA_016076775.1;88;4115
ND_NC1127;GCA_016076795.1;90;4215
ND_NC1128;GCA_016076815.1;82;4162
ND_NC1129;GCA_016076855.1;78;4251
ND_NC1130;GCA_016076895.1;88;4326
ND_NC1131;GCA_016076915.1;82;4093
ND_NC1132;GCA_016076995.1;91;4097
ND_NC1133;GCA_016077035.1;91;4095
ND_NC1134;GCA_016077055.1;90;4093
ND_NC1135;GCA_016077075.1;91;4100
ND_NC1136;GCA_016077095.1;87;4143
ND_NC1137;GCA_016077115.1;88;4177
ND_NC1138;GCA_016077155.1;91;4093
ND_NC1139;GCA_016077175.1;85;4255
ND_NC1140;GCA_016077215.1;90;4250
ND_NC1141;GCA_016077265.1;91;4097
ND_NC1142;GCA_016077295.1;92;4384
ND_NC1143;GCA_016077395.1;92;4341
ND_NC1144;GCA_016077415.1;86;4158
ND_NC1145;GCA_016077445.1;94;4274
ND_NC1146;GCA_016077485.1;88;4139
ND_NC1147;GCA_016077505.1;93;4311
ND_NC1148;GCA_016077555.1;91;4101
ND_NC1149;GCA_016077575.1;91;4091
ND_NC1150;GCA_016078775.2;92;4227
ND_NC1151;GCA_016078815.2;92;4265
ND_NC1152;GCA_016078835.2;93;4235
ND_NC1153;GCA_016078845.2;91;4313
ND_NC1154;GCA_016079835.2;92;4274
ND_NC1155;GCA_016079855.2;89;4152
ND_NC1156;GCA_016079865.2;91;4341
ND_NC1157;GCA_016079995.1;88;4299
ND_NC1158;GCA_016080015.2;91;4283
ND_NC1159;GCA_016081495.2;86;4294
ND_NC1160;GCA_016081515.2;87;4437
ND_NC1161;GCA_016081535.2;90;4206
ND_NC1162;GCA_016081555.2;90;4198
ND_NC1163;GCA_016081575.2;86;4319
ND_NC1164;GCA_016081615.1;86;4481
ND_NC1165;GCA_016081635.2;88;4472
ND_NC1166;GCA_016081675.2;94;4380
ND_NC1167;GCA_016081775.1;85;4326
ND_NC1168;GCA_016085895.1;89;4253
ND_NC1169;GCA_016085945.1;88;4261
ND_NC1170;GCA_016086065.1;88;4221
ND_NC1171;GCA_016086295.1;87;4391
ND_NC1172;GCA_016086775.1;89;4404
ND_NC1173;GCA_016086795.1;86;4451
ND_NC1174;GCA_016086815.1;89;4325
ND_NC1175;GCA_016086915.1;86;4254
ND_NC1176;GCA_016087055.1;93;4429
ND_NC1177;GCA_016087125.1;87;4349
ND_NC1178;GCA_016087175.1;81;4190
ND_NC1179;GCA_016576445.1;80;4378
ND_NC1180;GCA_016576485.1;77;4343
ND_NC1181;GCA_016576535.1;74;4204
ND_NC1182;GCA_016576885.1;91;4522
ND_NC1183;GCA_016576925.1;92;4477
ND_NC1184;GCA_016577305.1;83;4239
ND_NC1185;GCA_016577505.1;83;4234
ND_NC1186;GCA_016577545.1;90;4232
ND_NC1187;GCA_016577565.1;89;4227
ND_NC1188;GCA_016577585.1;89;4224
ND_NC1189;GCA_016577605.1;91;4222
ND_NC1190;GCA_016577625.1;89;4243
ND_NC1191;GCA_016577645.1;90;4231
ND_NC1192;GCA_016577665.1;90;4231
ND_NC1193;GCA_016577685.1;92;4252
ND_NC1194;GCA_016577705.1;89;4221
ND_NC1195;GCA_016577725.1;89;4227
ND_NC1196;GCA_016577745.1;91;4238
ND_NC1197;GCA_016577805.1;82;4234
ND_NC1198;GCA_016577825.1;90;4249
ND_NC1199;GCA_018091985.2;87;4167
ND_NC1200;GCA_018092025.2;89;4161
ND_NC1201;GCA_018092045.2;85;4225
ND_NC1202;GCA_019143095.1;88;4130
ND_NC1203;GCA_021834335.1;95;4432
ND_NC1204;GCA_022358415.1;79;4199
ND_NC1205;GCA_022358515.1;75;4183
ND_NC1206;GCA_022359575.1;90;4005
ND_NC1207;GCA_022362135.1;83;4192
ND_NC1208;GCA_022362795.1;85;4237
ND_NC1209;GCA_022373915.1;79;4173
ND_NC1210;GCA_022375055.1;91;4194
ND_NC1211;GCA_022387635.1;82;4209
ND_NC1212;GCA_022387825.1;83;4283
ND_NC1213;GCA_022387845.1;80;4168
ND_NC1214;GCA_022387865.1;80;4364
